feature,training_available_fraction,training_unique_values,selected,reason,fold
bmag_gse_rolling_variance_15m,0.9979432332373509,7278,True,SELECTED,AUG2024_DEMO_INTERVAL
bmag_gse_rolling_mean_60m,0.9917729329494035,7233,True,SELECTED,AUG2024_DEMO_INTERVAL
bmag_gse_rolling_median_60m,0.9917729329494035,3929,True,SELECTED,AUG2024_DEMO_INTERVAL
bmag_gse_rolling_variance_60m,0.9917729329494035,7233,True,SELECTED,AUG2024_DEMO_INTERVAL
density_compression_ratio,0.9973947621006445,7274,True,SELECTED,AUG2024_DEMO_INTERVAL
bmag_compression_ratio,0.9979432332373509,7278,True,SELECTED,AUG2024_DEMO_INTERVAL
speed_compression_ratio,0.9973947621006445,7118,True,SELECTED,AUG2024_DEMO_INTERVAL
dynamic_pressure_proxy,1.0,7293,True,SELECTED,AUG2024_DEMO_INTERVAL
dynamic_pressure_compression_ratio,0.9973947621006445,7274,True,SELECTED,AUG2024_DEMO_INTERVAL
joint_compression_index,0.9973947621006445,6036,True,SELECTED,AUG2024_DEMO_INTERVAL
js_opdi,1.0,7293,True,SELECTED,AUG2024_DEMO_INTERVAL
hellinger_opdi,1.0,7293,True,SELECTED,AUG2024_DEMO_INTERVAL
wasserstein_opdi,1.0,7293,True,SELECTED,AUG2024_DEMO_INTERVAL
d_js_opdi_dt,0.9995886466474702,7290,True,SELECTED,AUG2024_DEMO_INTERVAL
d_hellinger_opdi_dt,0.9995886466474702,7290,True,SELECTED,AUG2024_DEMO_INTERVAL
d_wasserstein_opdi_dt,0.9995886466474702,7290,True,SELECTED,AUG2024_DEMO_INTERVAL
d_opdi_dt,0.9995886466474702,7290,True,SELECTED,AUG2024_DEMO_INTERVAL
opdi_rolling_mean,0.9979432332373509,7278,True,SELECTED,AUG2024_DEMO_INTERVAL
opdi_rolling_median,0.9979432332373509,3426,True,SELECTED,AUG2024_DEMO_INTERVAL
opdi_rolling_variance,0.9979432332373509,7278,True,SELECTED,AUG2024_DEMO_INTERVAL
opdi_anomaly,0.9938296997120527,7248,True,SELECTED,AUG2024_DEMO_INTERVAL
opdi_persistence,1.0,30,True,SELECTED,AUG2024_DEMO_INTERVAL
th1_th2_cosine_similarity,1.0,7293,True,SELECTED,AUG2024_DEMO_INTERVAL
th1_th2_spectral_angle_rad,1.0,7293,True,SELECTED,AUG2024_DEMO_INTERVAL
crossplane_centroid_delta_ev,1.0,7293,True,SELECTED,AUG2024_DEMO_INTERVAL
crossplane_width_delta_ev,1.0,7293,True,SELECTED,AUG2024_DEMO_INTERVAL
crossplane_log_peak_energy_ratio,1.0,63,True,SELECTED,AUG2024_DEMO_INTERVAL
proton_density,1.0,12309,True,SELECTED,MAR2025_CIR_HSS_INTERVAL
proton_bulk_speed,1.0,12238,True,SELECTED,MAR2025_CIR_HSS_INTERVAL
proton_thermal,1.0,12304,True,SELECTED,MAR2025_CIR_HSS_INTERVAL
alpha_proton_ratio,0.7248578391551584,8922,True,SELECTED,MAR2025_CIR_HSS_INTERVAL
bmag_gse,1.0,12310,True,SELECTED,MAR2025_CIR_HSS_INTERVAL
Bx_gse,1.0,12310,True,SELECTED,MAR2025_CIR_HSS_INTERVAL
By_gse,1.0,12310,True,SELECTED,MAR2025_CIR_HSS_INTERVAL
Bz_gse,1.0,12309,True,SELECTED,MAR2025_CIR_HSS_INTERVAL
d_proton_bulk_speed_dt,0.9954508529650691,12225,True,SELECTED,MAR2025_CIR_HSS_INTERVAL
d_proton_density_dt,0.9954508529650691,12254,True,SELECTED,MAR2025_CIR_HSS_INTERVAL
d_bmag_gse_dt,0.9993501218521528,12302,True,SELECTED,MAR2025_CIR_HSS_INTERVAL
proton_density_rolling_mean_5m,0.9968318440292445,12271,True,SELECTED,MAR2025_CIR_HSS_INTERVAL
proton_density_rolling_median_5m,0.9968318440292445,7679,True,SELECTED,MAR2025_CIR_HSS_INTERVAL
proton_density_rolling_variance_5m,0.9968318440292445,12271,True,SELECTED,MAR2025_CIR_HSS_INTERVAL
proton_density_rolling_mean_15m,0.9978066612510155,12283,True,SELECTED,MAR2025_CIR_HSS_INTERVAL
proton_density_rolling_median_15m,0.9978066612510155,6364,True,SELECTED,MAR2025_CIR_HSS_INTERVAL
