model,fold,feature,importance,normalized_importance,signed_coefficient
Logistic Regression,AUG2024_DEMO_INTERVAL,alpha_proton_ratio_rolling_variance_5m,0.11633179827309935,0.0018571435101730192,0.11633179827309935
Logistic Regression,AUG2024_DEMO_INTERVAL,alpha_proton_ratio_rolling_mean_15m,0.170639844459548,0.002724127748554402,-0.170639844459548
Logistic Regression,AUG2024_DEMO_INTERVAL,alpha_proton_ratio_rolling_median_15m,0.28507893724681177,0.004551055739309105,0.28507893724681177
Logistic Regression,AUG2024_DEMO_INTERVAL,alpha_proton_ratio_rolling_variance_15m,0.23249171860757337,0.0037115431274208164,-0.23249171860757337
Logistic Regression,AUG2024_DEMO_INTERVAL,alpha_proton_ratio_rolling_mean_60m,0.5930657518115535,0.009467817298732497,0.5930657518115535
Logistic Regression,AUG2024_DEMO_INTERVAL,alpha_proton_ratio_rolling_median_60m,0.19405394871589066,0.0030979150742183634,0.19405394871589066
Logistic Regression,AUG2024_DEMO_INTERVAL,alpha_proton_ratio_rolling_variance_60m,0.8759463353294152,0.013983778090474474,-0.8759463353294152
Logistic Regression,AUG2024_DEMO_INTERVAL,bmag_gse_rolling_mean_5m,0.54911264873145,0.0087661413911225,0.54911264873145
Logistic Regression,AUG2024_DEMO_INTERVAL,bmag_gse_rolling_median_5m,0.5811990069324848,0.009278374269688068,0.5811990069324848
Logistic Regression,AUG2024_DEMO_INTERVAL,bmag_gse_rolling_variance_5m,0.20710718372763337,0.0033062994630843516,-0.20710718372763337
Logistic Regression,AUG2024_DEMO_INTERVAL,bmag_gse_rolling_mean_15m,0.29147728375210163,0.004653200190478352,0.29147728375210163
Logistic Regression,AUG2024_DEMO_INTERVAL,bmag_gse_rolling_median_15m,0.05646317665705296,0.0009013891614245473,-0.05646317665705296
Logistic Regression,AUG2024_DEMO_INTERVAL,bmag_gse_rolling_variance_15m,0.9187573738208717,0.014667221856309913,0.9187573738208717
Logistic Regression,AUG2024_DEMO_INTERVAL,bmag_gse_rolling_mean_60m,1.5330499688178472,0.024473908618494883,1.5330499688178472
Logistic Regression,AUG2024_DEMO_INTERVAL,bmag_gse_rolling_median_60m,1.8398299794018707,0.029371404523865715,1.8398299794018707
Logistic Regression,AUG2024_DEMO_INTERVAL,bmag_gse_rolling_variance_60m,2.636791789714596,0.04209425825645752,2.636791789714596
Logistic Regression,AUG2024_DEMO_INTERVAL,density_compression_ratio,0.9344724233223384,0.01491809997069427,0.9344724233223384
Logistic Regression,AUG2024_DEMO_INTERVAL,bmag_compression_ratio,0.04592626163130492,0.0007331757954506665,0.04592626163130492
Logistic Regression,AUG2024_DEMO_INTERVAL,speed_compression_ratio,0.40926591570231335,0.006533600877528319,-0.40926591570231335
Logistic Regression,AUG2024_DEMO_INTERVAL,dynamic_pressure_proxy,9.983053259885873,0.15937140875089392,9.983053259885873
