ground_truth_state,js_opdi__count,js_opdi__median,js_opdi__mean,js_opdi__std,hellinger_opdi__count,hellinger_opdi__median,hellinger_opdi__mean,hellinger_opdi__std,wasserstein_opdi__count,wasserstein_opdi__median,wasserstein_opdi__mean,wasserstein_opdi__std,proton_bulk_speed__count,proton_bulk_speed__median,proton_bulk_speed__mean,proton_bulk_speed__std,proton_density__count,proton_density__median,proton_density__mean,proton_density__std,proton_thermal__count,proton_thermal__median,proton_thermal__mean,proton_thermal__std,alpha_proton_ratio__count,alpha_proton_ratio__median,alpha_proton_ratio__mean,alpha_proton_ratio__std,bmag_gse__count,bmag_gse__median,bmag_gse__mean,bmag_gse__std
ICME/EJECTA,3600,0.06092326404882327,0.09385306605447918,0.08656732094909882,3600,0.2509017127728548,0.2873946836984332,0.13455562007458502,3600,0.042287087450267324,0.05719943874377211,0.03640532080230408,3592,466.18289022101874,453.12110303951806,43.38785771269061,3592,8.048279025918736,11.530958984256406,9.66322392376703,3592,33.87558048495221,39.26551023485822,16.67358968767496,2735,0.03202331040858618,0.032504210669823876,0.014929409850304113,3600,17.3936308729872,16.13769534475658,4.482883866916008
POST-EVENT,2879,0.04628730701888559,0.04930304950664674,0.02322537375940212,2879,0.22000407754331772,0.22108151006708718,0.05271612326270578,2879,0.05868399591780378,0.061822311176456875,0.02786576578472612,2875,377.1234516771349,370.5999015493085,26.613056499554958,2875,6.6960431831415965,7.154752172697995,3.185152344029936,2875,33.50644233249159,33.97367675534528,6.28053723533752,2594,0.01656026720711954,0.01765627375881834,0.008307907908881234,2841,6.731446966849472,6.3868284951128755,1.759072210773702
QUIET/PRE-EVENT,1788,0.022666389731951495,0.029214151639750198,0.01999989208029419,1788,0.15257553521327646,0.1648134136620279,0.05535578288552142,1788,0.03795397513465782,0.045370699781114514,0.024576701644163812,1788,379.1801485297217,378.8959917549744,18.12172105345699,1788,4.250406616696965,4.122455303330706,1.4064723669137014,1788,46.81416874038587,47.61163037874374,11.948927075422443,1331,0.011680733225488241,0.013967871841729753,0.0062287967877185215,2172,5.2240279839953585,5.669829852704328,1.1842521235749865
SHEATH,1390,0.03249375931645035,0.03493628575288401,0.01677085980248517,1390,0.1824984451174554,0.18399690919951625,0.044535593494979334,1390,0.051113071091578394,0.05332404301643155,0.022987086671685995,1390,434.7355386467885,432.35659962478616,34.7511083723917,1390,8.57890889356461,9.68625165022835,5.4860678636799145,1390,57.31232020378475,59.317680122378135,11.883189395081143,893,0.01368220131764477,0.020955893042273393,0.01874728923155973,1390,12.166385802464292,12.732932997050984,3.897408781990787
