timestamp,js_opdi,hellinger_opdi,wasserstein_opdi,proton_density,proton_bulk_speed,proton_thermal,alpha_density,alpha_bulk_speed,alpha_thermal,alpha_proton_ratio,usable_opdi,Bx_gse,By_gse,Bz_gse,Bx_gsm,By_gsm,Bz_gsm,mag_quality_flag,bmag_gse,bmag_gsm,z_js_opdi,z_hellinger_opdi,z_wasserstein_opdi,z_proton_bulk_speed,z_proton_density,z_proton_thermal,z_alpha_proton_ratio,z_bmag_gse,z_Bx_gse,z_By_gse,z_Bz_gse,opdi_anomaly_score,plasma_anomaly_score,mag_anomaly_score,conventional_anomaly_score,combined_anomaly_score,transition_component_bmag_gse,transition_component_proton_bulk_speed,transition_component_proton_thermal,transition_component_proton_density,transition_component_js_opdi,transition_score,transition_threshold_exceeded,is_change_point,state,ground_truth_state
2024-08-09 00:00:00,0.02726513218487074,0.166722715700566,0.029322542839734612,3.4881532992473847,383.09906318265,52.71700936458434,0.0362304074993244,380.8262385205553,43.51378277236135,0.010384329206922104,True,0.46047966182231903,-2.6272913217544556,-4.692667722702026,0.46047966182231903,-3.20475172996521,-4.318956613540649,1.0,5.493433019243275,5.493433069683878,0.46235786199693685,0.40484556594828547,-0.3498914682311332,0.124942374067753,-0.589344847141423,0.3464393281958253,-0.37548944569595816,0.4567180586865865,-0.6936625746852921,1.3050811223597145,-1.449725408773972,0.35263260078295405,0.35905399877523986,0.9762967911263913,0.40534720820157616,0.40534720820157616,0.0,0.0,0.0,0.0,0.0,0.0,False,False,NORMAL,QUIET/PRE-EVENT
2024-08-09 00:01:00,0.024016327975495782,0.15614542105399637,0.027060841980671685,3.3085707243388858,383.5699213069992,52.6415467349634,0.0368838315708035,380.7492257003933,44.370833310846216,0.011142791664194256,True,0.9487560093402863,-2.4457610845565796,-4.738190174102783,0.9487560093402863,-3.036070466041565,-4.39581561088562,1.0,5.373339381138491,5.373339568190081,0.21949185485241504,0.19146165652336317,-0.47223020969257434,0.1539783447178533,-0.7120085445782048,0.3412750192620534,-0.15739027396854208,0.22940347455229276,-0.47420538637381004,1.455045363221202,-1.4645865311402906,0.16718442438321646,0.3411630456316634,0.9058101888218988,0.383511581370931,0.383511581370931,0.0,0.0,0.0,0.0,0.0,0.0,False,False,NORMAL,QUIET/PRE-EVENT
2024-08-09 00:02:00,0.018586357453827595,0.13722102264098623,0.028330637313769808,2.704001732045074,380.70715051643515,50.590289917843265,0.03778784442649555,382.8063473072196,44.96732250808243,0.013976658763971868,True,0.9362329542636871,-1.4242150783538818,-4.871647834777832,0.9362329542636871,-2.0308337211608887,-4.649986743927002,1.0,5.1599003913469375,5.15990031938118,-0.1864283467111397,-0.19031480445406987,-0.4035451038164601,-0.022557482857960824,-1.1249587875969034,0.20089660998417094,0.6575005110941361,-0.17459623740728752,-0.47983390897202816,2.2989564035526375,-1.5081547170570435,0.0,0.5014783478832928,1.1153853167472492,0.5475213705480896,0.5475213705480896,0.0,0.0,0.0,0.0,0.0,0.0,False,False,NORMAL,QUIET/PRE-EVENT
2024-08-09 00:03:00,0.018216507797362474,0.13609642198858107,0.028513741445655792,2.626321228137339,380.0110035618245,49.921888591079366,0.03833318544486955,382.63517484139464,47.29465105281861,0.01464478316546354,True,1.3752685189247131,-1.678646206855774,-4.849976062774658,1.3752685189247131,-2.2984704971313477,-4.6028196811676025,1.0,5.358683182465768,5.358683152343847,-0.21407664544525704,-0.21300223935783877,-0.39364073075953765,-0.0654861305693472,-1.1780183777766866,0.15515435371122224,0.8496225827656716,0.20166205744764315,-0.28250813007853537,2.088767888260133,-1.501079815646335,0.0,0.562070361205732,1.0185044728581616,0.5963029195796642,0.5963029195796642,0.0,0.0,0.0,0.0,0.0,0.0,False,False,NORMAL,QUIET/PRE-EVENT
2024-08-09 00:04:00,0.021614894659461818,0.14859841728346126,0.026937202658829422,2.9927748790257276,379.03275130027293,51.25915102965974,0.037370039983385506,381.8105841248258,48.547372673847974,0.012437844587113474,True,1.0139035880565643,-1.6288889646530151,-4.985752105712891,1.0139035880565643,-2.2618748545646667,-4.756174802780151,1.0,5.42979417204881,5.42979395422395,0.03997148880326956,0.03921013826546058,-0.4789180433062537,-0.12581110424175618,-0.9277125795661383,0.2466703317926644,0.21500781524960602,0.3362617354950635,-0.4449246224722794,2.129872924916721,-1.5454048536535379,0.03174878588127296,0.3788004577125412,1.1141160341344005,0.43394912594418067,0.43394912594418067,0.0,0.0,0.0,0.0,0.025429598887535283,0.025429598887535283,False,False,NORMAL,QUIET/PRE-EVENT
2024-08-09 00:05:00,0.02112795184740557,0.14648197097086224,0.03625369892069819,3.0022730226611403,369.02043177694895,50.61336068091594,0.0384214465332782,379.4035097455626,49.61039299546791,0.012924455120439923,True,3.091654062271118,-3.689549446105957,-3.4249695539474487,3.091654062271118,-4.100586533546448,-2.920332670211792,1.0,6.029874453662147,6.0298744271363836,0.0035698318088091038,-0.0034865628628195904,0.02502500598784169,-0.7432315134583848,-0.9212248820949388,0.20247546495442073,0.3549347862615059,1.4721004178331571,0.4889262171225995,0.427537327583115,-1.035876483030344,0.0067899171019728905,0.5554666616923125,0.856110111392304,0.5780149204198118,0.5780149204198118,1.2278033389759067,0.38849040483401087,0.04060870873419341,0.0,0.0,1.6569024525441107,False,False,NORMAL,QUIET/PRE-EVENT
2024-08-09 00:06:00,0.03469149205334682,0.18911038685890685,0.05928399152667649,5.321000742614423,352.56868470888196,46.331147864881586,,,,,True,4.280766248703003,-5.204403638839722,-0.469908244907856,4.280766248703003,-5.30738377571106,0.2048972100019455,1.0,6.806819153218477,6.806819075049654,1.0175191621671613,0.8564892947382046,1.2707675636802285,-1.7577461205313885,0.6625797583249268,-0.09057912396254476,,2.942710052632418,1.023376059609917,-0.8239013447606586,-0.0711760690082474,1.0198598822410876,0.8369683342729534,1.2152908815028103,0.8653425253151926,1.0198598822410876,3.5914857325930867,1.0018456713099897,0.2285058419256617,0.3236701365881191,0.32698531399799957,5.472492696414857,False,False,NORMAL,QUIET/PRE-EVENT
2024-08-09 00:07:00,0.02623901705072999,0.16347458008954419,0.04317122936380757,5.611484982125817,353.6757700136923,45.718683418805306,0.03877053293629,375.42205041377343,49.04695358726906,0.02116070701269119,True,3.4522942304611206,-5.79389500617981,-1.605678915977478,3.4522942304611206,-5.840884447097778,-0.8372098505496979,1.0,6.604993903461125,6.604993802960264,0.3856501044841272,0.33931842520186367,0.3992044493214046,-1.6894765192325705,0.8609947263903669,-0.13249332210773607,2.723304767682759,2.560692957968642,0.6510169628764589,-1.3108870214289134,-0.4419563412358713,0.37446146966690363,1.351567333853358,1.2411383208774713,1.3432851578801666,1.3432851578801666,2.6353813629987166,0.9204545510071099,0.22379468692036714,0.3830234018674449,0.09385419382040959,4.256508196614049,False,False,NORMAL,QUIET/PRE-EVENT
2024-08-09 00:08:00,0.03923648619302374,0.20089643927495998,0.07511811189053208,6.743400631613807,347.53117584799884,42.42707231292194,,,,,True,4.055536389350891,-5.796844959259033,-0.051002904772758484,4.055536389350891,-5.717939853668213,0.7085228487849236,1.0,7.180992047441675,7.180992278737898,1.3572825052499229,1.0942584053907196,2.127258531396297,-2.068389500926252,1.6341485739922164,-0.35775576957350175,,3.650948700298828,0.922145860956098,-1.3133240119872442,0.06557850654935274,1.4323704805214366,1.3534312814973235,1.487999269947881,1.3635238806311152,1.4323704805214366,3.8403617059187996,1.1536437884161872,0.6136509052114787,0.5064264975636648,0.3707252238161346,6.484808120926265,False,False,NORMAL,QUIET/PRE-EVENT
2024-08-09 00:09:00,0.04758481597542177,0.22297464931823613,0.08531724367738888,7.619319676308191,348.35081063499365,40.74540608017184,,,,,True,3.774036407470703,-6.1132166385650635,0.32008376717567444,3.774036407470703,-6.019512414932251,1.113263189792633,1.0,7.231546935182955,7.231546983876962,1.9813661341512723,1.5396591368212977,2.678944640460433,-2.0178458437431543,2.232444197786739,-0.4728411302750541,,3.746639558401053,0.7956248962458711,-1.5746823369118472,0.1867223437251312,1.9883697362141122,1.5743770572683158,1.5759172838209756,1.5744925742597653,1.9883697362141122,2.528846267698901,0.6647301214271336,0.7008951668830178,0.6461055692382766,0.6255653170786767,5.166142442326006,False,False,NORMAL,QUIET/PRE-EVENT
