feature_group,column,description,units,formula_or_definition,uses_ground_truth_label
cross_plane_opdi,hellinger_opdi,Cross-plane distribution divergence from Phase 1/2,,,False
cross_plane_opdi,wasserstein_opdi,Cross-plane distribution divergence from Phase 1/2,,,False
cross_plane_derivative,d_js_opdi_dt,Time derivative of OPDI; d_opdi_dt uses JS as canonical OPDI,,,False
cross_plane_derivative,d_hellinger_opdi_dt,Time derivative of OPDI; d_opdi_dt uses JS as canonical OPDI,,,False
cross_plane_derivative,d_wasserstein_opdi_dt,Time derivative of OPDI; d_opdi_dt uses JS as canonical OPDI,,,False
cross_plane_derivative,d_opdi_dt,Time derivative of OPDI; d_opdi_dt uses JS as canonical OPDI,,,False
cross_plane_rolling,opdi_rolling_mean,Past-only 15-minute rolling statistic of JS OPDI,,,False
cross_plane_rolling,opdi_rolling_median,Past-only 15-minute rolling statistic of JS OPDI,,,False
cross_plane_rolling,opdi_rolling_variance,Past-only 15-minute rolling statistic of JS OPDI,,,False
cross_plane_anomaly,opdi_anomaly,Absolute robust z-score of JS OPDI against a past-only quiet-like local baseline,,,False
cross_plane_anomaly,opdi_persistence,Consecutive minutes for which OPDI anomaly exceeds the configured threshold,min,,False
cross_plane_shape,th1_th2_cosine_similarity,Cosine similarity between normalized TH1 and TH2 energy spectra,ratio,,False
cross_plane_shape,th1_th2_spectral_angle_rad,Spectral angle between normalized TH1 and TH2 energy spectra,rad,,False
cross_plane_shape,crossplane_centroid_delta_ev,TH1 minus TH2 spectral centroid,eV,,False
cross_plane_shape,crossplane_width_delta_ev,TH1 minus TH2 spectral width,eV,,False
cross_plane_shape,crossplane_log_peak_energy_ratio,Log ratio of TH1 to TH2 peak energy,log ratio,,False
